Lineup,Slot,Name,ID,TeamAbbrev,Salary,Proj
1,P,Eric Lauer,40200205,TOR,7800,12.09
1,P,River Ryan,40200305,LAD,6400,0.0
1,2B,Brandon Lowe,40199588,TB,5000,8.02
1,UTIL,Chris Taylor,40199773,LAA,3200,2.98
1,OF,Tyler O'Neill,40199714,BAL,3500,6.51
1,OF,Corbin Carroll,40199566,ARI,6100,10.49
1,3B,Alex Bregman,40199601,BOS,4700,8.02
1,OF,Heston Kjerstad,40200025,BAL,2200,4.32
1,SS,Willy Adames,40199618,SF,4300,7.76
1,C/1B,Brian Navarreto,40199947,MIA,2000,4.29
2,OF,Alex Verdugo,40200071,ATL,2000,4.71
2,2B,Brayan Rocchio,40199832,CLE,2900,4.95
2,P,John Schreiber,40200583,KC,4000,2.49
2,C/1B,Jesus Rodriguez,40200056,SF,2000,0.0
2,P,Lucas Gilbreath,40200564,COL,4000,3.65
2,SS,Trevor Story,40199593,BOS,4800,8.55
2,OF,Joey Loperfido,40199860,TOR,2700,4.95
2,UTIL,Ryan Feltner,40200352,COL,5900,9.88
2,3B,Manny Machado,40199582,SD,5100,8.23
2,OF,Lourdes Gurriel Jr.,40199961,ARI,4100,7.37
3,3B,Deyvison De Los Santos,40200061,MIA,2000,0.0
3,OF,Colton Cowser,40199737,BAL,3400,6.91
3,P,Craig Kimbrel,40200631,HOU,4000,2.96
3,SS,Denzer Guzman,40199877,LAA,2600,4.1
3,C/1B,Alex Jackson,40199791,BAL,3100,4.84
3,P,Rob Zastryzny,40200681,MIL,4000,2.74
3,OF,Jackson Chourio,40199597,MIL,4700,8.94
3,UTIL,Brayan Rocchio,40199832,CLE,2900,4.95
3,2B,Marcus Semien,40199973,TEX,3100,6.94
3,OF,Evan Carter,40199965,TEX,3700,7.0
4,C/1B,Rafael Flores,40199941,PIT,2100,3.0
4,UTIL,Logan Evans,40200221,SEA,7400,10.75
4,2B,Ketel Marte,40199572,ARI,5600,8.97
4,P,Steven Okert,40200756,HOU,4000,3.77
4,OF,Dylan Carlson,40199891,BAL,2500,4.02
4,SS,Mookie Betts,40199591,LAD,4900,7.93
4,3B,Graham Pauley,40199915,MIA,2300,4.52
4,P,Reese Olson,40200217,DET,7500,15.36
4,OF,Brenton Doyle,40199761,COL,3300,6.34
4,OF,Giancarlo Stanton,40199609,NYY,4500,8.0
5,OF,Jac Caglianone,40199879,KC,2600,4.8
5,OF,Jakob Marsee,40199606,MIA,4500,9.58
5,UTIL,Ryan Weathers,40200377,MIA,5700,13.03
5,P,Bryan Abreu,40200682,HOU,4000,4.25
5,P,Juan Morillo,40200562,ARI,4000,1.89
5,OF,Heliot Ramos,40199671,SF,3800,7.34
5,2B,Brice Matthews,40199974,HOU,3100,6.18
5,SS,Nick Allen,40199934,ATL,2100,3.59
5,C/1B,Cesar Salazar,40200046,HOU,2000,1.54
5,3B,Jose Ramirez,40199568,CLE,5900,9.72
6,P,Doug Nikhazy,40200261,CLE,6800,0.2
6,OF,Jordan Beck,40199794,COL,3100,6.99
6,UTIL,Yordan Alvarez,40199955,HOU,4400,7.12
6,C/1B,Spencer Torkelson,40199652,DET,4000,7.61
6,OF,Adolis Garcia,40199681,TEX,3700,6.84
6,P,Domingo Gonzalez,40200442,SEA,4000,0.0
6,2B,Thairo Estrada,40199964,COL,4000,6.33
6,OF,Randal Grichuk,40199841,KC,2800,3.99
6,SS,Trevor Story,40199593,BOS,4800,8.55
6,3B,Brett Baty,40199678,NYM,3800,6.03
7,3B,Ronny Mauricio,40199834,NYM,2900,4.67
7,P,Edwin Diaz,40200558,NYM,4000,4.92
7,P,Jason Adam,40200662,SD,4000,3.76
7,OF,Victor Mesa Jr.,40199999,MIA,2600,4.06
7,2B,Jose Altuve,40199645,HOU,4100,7.69
7,C/1B,Tom Murphy,40200072,SF,2000,0.0
7,SS,Willy Adames,40199618,SF,4300,7.76
7,OF,Jorge Soler,40199972,LAA,3200,5.8
7,UTIL,Brandon Young,40200387,BAL,5600,7.86
7,OF,Cedric Mullins,40199739,NYM,3400,6.88
8,OF,Jarred Kelenic,40200129,ATL,2000,3.17
8,2B,Ryan Ritter,40199899,COL,2500,5.14
8,P,Michael Arias,40200445,NYY,4000,0.0
8,P,Yu Darvish,40199556,SD,6200,11.64
8,C/1B,Josh Naylor,40199596,SEA,4800,8.73
8,UTIL,Adael Amador,40200094,COL,2000,3.49
8,3B,Colt Keith,40199967,DET,3300,5.75
8,OF,Wenceel Perez,40199669,DET,3800,6.96
8,SS,Francisco Lindor,40199571,NYM,5700,9.48
8,OF,Roman Anthony,40199954,BOS,4400,8.34
9,3B,Anthony Rendon,40200038,LAA,2000,0.0
9,OF,Fernando Tatis Jr.,40199573,SD,5600,9.14
9,2B,Brice Matthews,40199974,HOU,3100,6.18
9,P,Cole Winn,40200359,TEX,5800,3.74
9,UTIL,Will Benson,40199703,CIN,3600,5.16
9,OF,Tyler O'Neill,40199714,BAL,3500,6.51
9,SS,Bobby Witt Jr.,40199569,KC,5800,9.73
9,C/1B,Nathaniel Lowe,40199667,BOS,3900,6.45
9,OF,Matthew Lugo,40200114,LAA,2000,3.97
9,P,Ryan Pepiot,40200238,TB,7100,15.83
10,3B,Ronny Mauricio,40199834,NYM,2900,4.67
10,OF,Oneil Cruz,40199579,PIT,5300,7.86
10,OF,Mickey Moniak,40199699,COL,3600,7.05
10,P,Erik Swanson,40200264,TOR,6800,-0.73
10,SS,Geraldo Perdomo,40199583,ARI,5100,9.2
10,C/1B,Adley Rutschman,40199680,BAL,3800,6.0
10,2B,Jorge Polanco,40199673,SEA,3800,7.31
10,P,Scott Barlow,40200559,CIN,4000,2.7
10,UTIL,Lyon Richardson,40200430,CIN,5200,2.08
10,OF,Heliot Ramos,40199671,SF,3800,7.34
11,P,Hunter Dobbins,40200252,BOS,6900,10.71
11,P,Carlos Estevez,40200701,KC,4000,2.82
11,OF,Tommy Pham,40199732,PIT,3400,5.94
11,C/1B,Austin Wells,40199744,NYY,3400,6.4
11,OF,Manuel Margot,40200033,DET,2000,4.33
11,OF,Chas McCormick,40200004,HOU,2500,2.21
11,3B,Yoan Moncada,40199659,LAA,3900,6.26
11,2B,Brice Turang,40199617,MIL,4300,8.39
11,SS,Josh Smith,40199679,TEX,3800,6.23
11,UTIL,Caleb Ferguson,40200471,SEA,4000,2.28
12,P,Graham Ashcraft,40200431,CIN,5200,3.15
12,OF,Tyler Soderstrom,40199663,ATH,3900,7.72
12,P,Chase Petty,40200321,CIN,6200,-4.1
12,3B,Kike Hernandez,40199866,LAD,2700,4.0
12,C/1B,Ben Rice,40199622,NYY,4300,7.31
12,OF,Tristan Peters,40200115,TB,2000,0.0
12,OF,Jorge Mateo,40199876,BAL,2600,3.9
12,UTIL,Will Wilson,40200111,CLE,2000,2.85
12,SS,Ezequiel Tovar,40199729,COL,3400,6.37
12,2B,Ramon Urias,40199833,HOU,2900,5.21
13,OF,Tommy Pham,40199732,PIT,3400,5.94
13,UTIL,Trent Grisham,40199621,NYY,4300,7.89
13,2B,Hyeseong Kim,40199802,LAD,3000,4.52
13,P,Luis Guerrero,40200734,BOS,4000,2.25
13,OF,Fernando Tatis Jr.,40199573,SD,5600,9.14
13,3B,Graham Pauley,40199915,MIA,2300,4.52
13,SS,Geraldo Perdomo,40199583,ARI,5100,9.2
13,P,Hunter Strickland,40200488,LAA,4000,2.6
13,OF,Marcell Ozuna,40199684,ATL,3700,6.84
13,C/1B,Rafael Flores,40199941,PIT,2100,3.0
14,2B,Casey Schmitt,40199750,SF,3300,5.76
14,UTIL,Tyler Anderson,40200381,LAA,5700,10.3
14,OF,Jac Caglianone,40199879,KC,2600,4.8
14,OF,Jake Mangum,40199689,TB,3700,6.46
14,3B,Nacho Alvarez Jr.,40199881,ATL,2600,4.82
14,P,Shane McClanahan,40200186,TB,8100,0.0
14,OF,Jesse Winker,40199988,NYM,2800,5.15
14,P,Tyler Owens,40200633,DET,4000,1.05
14,SS,Jacob Wilson,40199649,ATH,4000,7.53
14,C/1B,Jake Rogers,40199825,DET,2900,4.27
15,OF,Kyren Paris,40200081,LAA,2000,5.68
15,P,Chris Martin,40200714,TEX,4000,2.65
15,UTIL,Heliot Ramos,40199671,SF,3800,7.34
15,SS,Ezequiel Tovar,40199729,COL,3400,6.37
15,C/1B,Coby Mayo,40199916,BAL,2300,5.39
15,OF,Tommy Pham,40199732,PIT,3400,5.94
15,3B,Deyvison De Los Santos,40200061,MIA,2000,0.0
15,P,Tim Herrin,40200595,CLE,4000,2.15
15,OF,Brenton Doyle,40199761,COL,3300,6.34
15,2B,Brice Matthews,40199974,HOU,3100,6.18
16,UTIL,Cole Ragans,40200168,KC,8700,17.82
16,2B,Kristian Campbell,40199982,BOS,2900,5.69
16,SS,Bobby Witt Jr.,40199569,KC,5800,9.73
16,P,Landen Roupp,40200216,SF,7500,12.86
16,C/1B,Paul Goldschmidt,40199695,NYY,3600,6.16
16,P,Ryan Gusto,40200375,MIA,5700,8.53
16,3B,Carlos Correa,40199752,HOU,3300,6.4
16,OF,Johnathan Rodriguez,40199911,CLE,2400,2.86
16,OF,Jake Meyers,40199769,HOU,3200,6.38
16,OF,Jesse Winker,40199988,NYM,2800,5.15
17,P,Nolan McLean,40200145,NYM,10300,23.6
17,C/1B,Jake Burger,40199704,TEX,3600,6.16
17,2B,Ryan Bliss,40200026,SEA,2200,5.09
17,P,Corbin Burnes,40200180,ARI,8300,18.0
17,UTIL,Michael Kelly,40200724,ATH,4000,2.69
17,OF,Brandon Lockridge,40200003,MIL,2500,3.52
17,OF,Tyrone Taylor,40199898,NYM,2500,4.42
17,3B,Alex Bregman,40199601,BOS,4700,8.02
17,OF,JJ Bleday,40199777,ATH,3200,6.03
17,SS,Otto Lopez,40199707,MIA,3600,7.11
18,3B,Oswaldo Cabrera,40199986,NYY,2900,5.15
18,UTIL,Hayden Birdsong,40200407,SF,5500,8.0
18,OF,Daniel Johnson,40200097,BAL,2000,3.03
18,P,Blake Snell,40200148,LAD,10200,20.34
18,OF,Ryan Vilade,40200130,CIN,2000,1.12
18,C/1B,Ildemaro Vargas,40199747,ARI,3300,5.06
18,2B,Ramon Urias,40199833,HOU,2900,5.21
18,P,Julian Aguiar,40200435,CIN,5200,0.0
18,SS,Bobby Witt Jr.,40199569,KC,5800,9.73
18,OF,Jarren Duran,40199590,BOS,4900,8.57
19,P,Marc Church,40200475,TEX,4000,2.1
19,3B,Jace Jung,40200022,DET,2200,2.52
19,2B,Adael Amador,40200094,COL,2000,3.49
19,OF,Chandler Simpson,40199632,TB,4200,7.68
19,OF,Michael Harris II,40199740,ATL,3400,6.83
19,P,Austin Pope,40200449,ARI,4000,4.7
19,SS,Taylor Walls,40200078,TB,2000,5.12
19,UTIL,Francisco Lindor,40199571,NYM,5700,9.48
19,OF,Michael Helman,40199670,TEX,3800,6.0
19,C/1B,Spencer Steer,40199666,CIN,3900,6.82
20,3B,Andy Ibanez,40199781,DET,3100,3.26
20,SS,Xander Bogaerts,40199760,SD,3300,6.94
20,OF,Daniel Johnson,40200097,BAL,2000,3.03
20,P,Chase Lee,40200478,DET,4000,3.51
20,UTIL,Chris Taylor,40199773,LAA,3200,2.98
20,P,Brandon Pfaadt,40200230,ARI,7300,12.22
20,C/1B,Carter Jensen,40199686,KC,3700,7.06
20,2B,Xavier Edwards,40199672,MIA,3800,7.37
20,OF,Tristan Peters,40200115,TB,2000,0.0
20,OF,Jorge Mateo,40199876,BAL,2600,3.9
